iso2c,year,cpi
SR,2014,130.245749019005
SZ,1965,1.5581335887572
SZ,1966,1.60764361087921
SZ,1967,1.63696772866907
SZ,1968,1.6934337043028
SZ,1969,1.74771742002738
SZ,1970,1.78004214520767
SZ,1971,1.82136869260149
SZ,1972,1.8644683261802
SZ,1973,2.0796937116086
SZ,1974,2.48082036466193
SZ,1975,2.77965358358977
SZ,1976,2.96119033137047
SZ,1977,3.5772695873598
SZ,1978,3.88196762984207
SZ,1979,4.520687832591
SZ,1980,5.36533203530112
SZ,1981,6.44139211801934
SZ,1982,7.13754050449385
SZ,1983,7.96317724272672
SZ,1984,8.99359060989558
SZ,1985,10.8339160905682
SZ,1986,12.322179305373
SZ,1987,13.9704708228449
SZ,1988,16.8196871953555
SZ,1989,18.0889285053743
SZ,1990,20.4571834673623
SZ,1991,22.2848909537895
SZ,1992,23.969248833438
SZ,1993,26.8511732197161
SZ,1994,30.5483984945474
SZ,1995,34.3023663220619
SZ,1996,36.5063665262829
SZ,1997,39.1075645992861
SZ,1998,42.2791746492626
SZ,1999,44.8534946709948
SZ,2000,50.3294496499372
SZ,2001,53.3200808213559
SZ,2002,59.7290028244159
SZ,2003,64.0832471303157
SZ,2004,66.29112971972
SZ,2005,69.4558709343717
SZ,2006,73.1402544735957
SZ,2007,79.0471259920872
SZ,2008,89.0524844930227
SZ,2009,95.6853221296668
SZ,2010,100
SZ,2011,106.105198202114
SZ,2012,115.590588246568
SZ,2013,122.08631627024
SE,1960,9.21159563836975
SE,1961,9.41037928614407
SE,1962,9.85889695352631
SE,1963,10.1419224092786
SE,1964,10.4855961770002
SE,1965,11.0112148805574
SE,1966,11.7164625939954
SE,1967,12.219018534531
SE,1968,12.4564491973091
SE,1969,12.7917759817631
SE,1970,13.6892938010854
SE,1971,14.7016911993728
SE,1972,15.5848792266163
SE,1973,16.6318707694241
SE,1974,18.280375840538
SE,1975,20.0681742104729
SE,1976,22.1308922951882
SE,1977,24.6732965512551
SE,1978,27.1209890839062
SE,1979,29.0763543491396
SE,1980,33.0608567721032
SE,1981,37.0639755128703
SE,1982,40.2433279058152
SE,1983,43.8276757941905
SE,1984,47.3431468976519
SE,1985,50.8310672870261
SE,1986,52.9827780486931
SE,1987,55.2198960236055
SE,1988,58.421288987704
SE,1989,62.1819614455309
SE,1990,68.6921951582375
SE,1991,75.1060013720256
SE,1992,76.8196557813795
SE,1993,80.3902283127666
SE,1994,82.1589841500741
SE,1995,84.2363079839215
SE,1996,84.6330382651867
SE,1997,85.0710946174171
SE,1998,84.9553816187147
SE,1999,85.3410916143891
SE,2000,86.2262960544621
SE,2001,88.3008648169116
SE,2002,90.2068232098234
SE,2003,91.9438957260577
SE,2004,92.287453129348
SE,2005,92.705672967515
SE,2006,93.9666691462309
SE,2007,96.0453705157769
SE,2008,99.3464970644713
SE,2009,98.8552678342659
SE,2010,100
SE,2011,102.961150738221
SE,2012,103.875834442249
SE,2013,103.829824749908
SE,2014,103.643306416286
CH,1960,24.0262803352575
CH,1961,24.469654264438
CH,1962,25.525670494792
CH,1963,26.4036819211162
CH,1964,27.2172621606206
CH,1965,28.1466001255021
CH,1966,29.4909186152428
CH,1967,30.6768892730855
CH,1968,31.4169235913269
CH,1969,32.1988931875045
CH,1970,33.3632138482674
CH,1971,35.5561822114697
CH,1972,37.9242920298713
CH,1973,41.2445793378491
CH,1974,45.2728328102275
CH,1975,48.3045067341308
CH,1976,49.1333451705886
CH,1977,49.7648411221758
CH,1978,50.2902654880952
CH,1979,52.1246746759668
CH,1980,54.2211423191948
CH,1981,57.740213005806
CH,1982,61.0055445532712
CH,1983,62.8159982136491
CH,1984,64.6447026740173
CH,1985,66.8620068322138
CH,1986,67.3572809568969
CH,1987,68.3325900024265
CH,1988,69.6203027266026
CH,1989,71.8223676809626
CH,1990,75.6855058534905
CH,1991,80.1353533737199
CH,1992,83.3736841889553
CH,1993,86.1015016756712
CH,1994,86.8406030617368
CH,1995,88.402621454968
CH,1996,89.1264836371971
CH,1997,89.5912793542073
CH,1998,89.6065185580438
CH,1999,90.3456199441092
CH,2000,91.74000709514
CH,2001,92.6473344798714
CH,2002,93.2427782064792
CH,2003,93.8379928095907
CH,2004,94.5914209476982
CH,2005,95.7000056010342
CH,2006,96.7132558139535
CH,2007,97.4218123496388
CH,2008,99.7858861267041
CH,2009,99.3063352044901
CH,2010,100
CH,2011,100.225601604278
CH,2012,99.5571524064172
CH,2013,99.3172292780749
CH,2014,99.3040942513369
SY,1960,1.45344733155822
SY,1961,1.48191877880353
SY,1962,1.42492190269571
SY,1963,1.45223290583071
SY,1964,1.53060361047898
SY,1965,1.47123186453332
